cups;fecha;hora;consumo_kWh;metodoObtencion;energiaVertida_kWh
"ES0022000005635208CB1P";"2024/01/01";"01:00";"0,516";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"02:00";"1,448";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"03:00";"0,670";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"04:00";"0,103";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"05:00";"0,216";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"06:00";"0,055";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"07:00";"0,099";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"08:00";"0,322";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"09:00";"0,097";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"10:00";"0,059";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"11:00";"0,281";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"12:00";"0,143";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"13:00";"0,279";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"14:00";"0,544";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"15:00";"2,588";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"16:00";"1,211";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"17:00";"0,628";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"18:00";"0,220";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"19:00";"0,627";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"20:00";"0,338";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"21:00";"2,119";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"22:00";"2,462";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"23:00";"0,493";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/01";"24:00";"0,132";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"01:00";"0,224";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"02:00";"0,055";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"03:00";"0,058";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"04:00";"0,090";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"05:00";"0,178";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"06:00";"0,186";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"07:00";"0,048";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"08:00";"0,360";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"09:00";"0,656";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"10:00";"0,281";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"11:00";"0,613";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"12:00";"1,004";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"13:00";"0,445";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"14:00";"0,459";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"15:00";"1,047";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"16:00";"0,319";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"17:00";"0,412";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"18:00";"0,487";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"19:00";"0,276";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"20:00";"0,482";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"21:00";"1,175";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"22:00";"0,196";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"23:00";"0,450";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/02";"24:00";"0,107";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"01:00";"0,138";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"02:00";"0,102";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"03:00";"0,052";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"04:00";"0,080";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"05:00";"0,064";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"06:00";"0,243";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"07:00";"0,287";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"08:00";"0,967";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"09:00";"0,178";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"10:00";"0,508";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"11:00";"0,229";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"12:00";"0,240";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"13:00";"0,373";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"14:00";"0,285";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"15:00";"1,277";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"16:00";"1,974";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"17:00";"0,561";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"18:00";"0,406";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"19:00";"0,405";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"20:00";"1,422";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"21:00";"0,360";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"22:00";"0,426";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"23:00";"1,239";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/03";"24:00";"0,582";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"01:00";"0,183";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"02:00";"0,147";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"03:00";"0,162";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"04:00";"0,145";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"05:00";"0,157";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"06:00";"0,428";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"07:00";"0,199";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"08:00";"1,506";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"09:00";"0,928";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"10:00";"0,453";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"11:00";"0,281";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"12:00";"0,398";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"13:00";"0,212";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"14:00";"1,006";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"15:00";"0,982";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"16:00";"0,499";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"17:00";"0,268";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"18:00";"0,227";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"19:00";"0,598";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"20:00";"1,634";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"21:00";"1,232";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"22:00";"0,573";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"23:00";"0,280";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/04";"24:00";"0,448";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"01:00";"0,161";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"02:00";"0,200";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"03:00";"0,301";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"04:00";"0,155";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"05:00";"0,161";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"06:00";"0,153";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"07:00";"0,350";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"08:00";"1,036";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"09:00";"0,493";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"10:00";"0,262";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"11:00";"0,456";Real;"0,000"
"ES0022000005635208CB1P";"2024/01/05";"12:00";"0,275";Real;"0,000"
