cups;fechaMaximo;hora;maximoPotenciaDemandadaKW;periodo
"ES0022000005635208CB1P";"2024/06/10";"21:45";"3,412";"1"
"ES0022000005635208CB1P";"2024/06/28";"15:30";"3,980";"2"
"ES0022000005635208CB1P";"2024/06/01";"10:30";"3,972";"3"
"ES0022000005635208CB1P";"2024/07/22";"20:30";"2,820";"1"
"ES0022000005635208CB1P";"2024/07/05";"14:45";"3,504";"2"
"ES0022000005635208CB1P";"2024/07/21";"14:30";"4,544";"3"
"ES0022000005635208CB1P";"2024/08/27";"20:45";"2,784";"1"
"ES0022000005635208CB1P";"2024/08/23";"15:30";"2,648";"2"
"ES0022000005635208CB1P";"2024/08/25";"13:15";"3,432";"3"
"ES0022000005635208CB1P";"2024/09/11";"20:30";"4,008";"1"
"ES0022000005635208CB1P";"2024/09/09";"09:00";"2,880";"2"
"ES0022000005635208CB1P";"2024/09/29";"14:45";"3,368";"3"
